screen_name,betweenness_centrality,degree_in,followers_count,group,belongs_to,profile_image_url
alpscetl,24.503,8,53,3,ukoer,http://a0.twimg.com/profile_images/1239319473/alps_icon_normal.jpg
gillysalmon,793.85,84,1042,0,ukoer,http://a0.twimg.com/profile_images/70343536/pinkmask_normal.JPG
markpgray,5.4028,3,21,0,ukoer,http://a0.twimg.com/profile_images/1267639733/myPortraitAbout_normal.jpg
ECleaver,0,0,19,3,SCOREProject,http://a0.twimg.com/profile_images/1862044475/CLEA201_normal.jpg
IETatOU,207.95,41,172,4,SCOREProject,http://a0.twimg.com/profile_images/1341120954/video_podcast_3-tiny_normal.jpg
MarionManton,77.736,17,55,1,ukoer,http://a0.twimg.com/profile_images/1534490848/Marion09_normal.jpg
AlannahFitz,143.59,14,36,4,SCOREProject,http://a0.twimg.com/profile_images/1801832030/dragon_normal.jpg
altolondon,129.03,17,57,1,SCOREProject,http://a0.twimg.com/profile_images/1224511048/connections_normal.jpg
tuoermin,0,1,26,4,SCOREProject,http://a0.twimg.com/profile_images/1522029020/mitja2_normal.jpg
matthewjwatkins,13.411,7,29,3,ukoer,http://a0.twimg.com/profile_images/258536847/Matt.Watkins-photo_normal.jpg
deftoer3,100.2,13,55,1,"SCOREProject,ukoer",http://a0.twimg.com/profile_images/1632177210/qrcode.2199066_normal.png
CORE_SET,875.68,20,40,1,"SCOREProject,ukoer",http://a0.twimg.com/profile_images/1621981149/favicon_110px_wBg_normal.png
pbacsich,338.03,36,149,4,SCOREProject,http://a0.twimg.com/profile_images/290102212/p_bacsich_small_normal.jpg
rcpearce,95.395,22,83,1,ukoer,http://a0.twimg.com/profile_images/67198133/rob-relaxed-square-pic-aspect_normal.jpg
tali_hud,1.6629,2,21,3,ukoer,http://a0.twimg.com/profile_images/1901425708/tali_logo_normal.png
gema_bueno,41.513,9,77,1,ukoer,http://a0.twimg.com/profile_images/1609638430/Photo_on_2011-10-13_at_10.09_normal.jpg
glyndwr_repos,3.7044,10,104,3,ukoer,http://a0.twimg.com/profile_images/1172894945/g_with_blue_for_repos_researchlogo2_normal.png
MIT_BLOSSOMS,2.7962,4,128,4,SCOREProject,http://a0.twimg.com/profile_images/1394610545/blossoms_image_normal
hamilton_ia,0,2,46,3,SCOREProject,http://a0.twimg.com/profile_images/1429635197/IMG_1792ski3_normal.jpg
foregone,0,1,34,4,ukoer,http://a0.twimg.com/profile_images/924366363/clip_image001_normal.jpg
heather_jp,243.04,68,233,1,ukoer,http://a0.twimg.com/profile_images/1109042273/heather5_edits_normal.jpg
s3library,0,0,15,2,ukoer,http://a0.twimg.com/profile_images/2020947027/2012-04-02-071_normal.jpg
caro11ne,4.2369,6,40,1,ukoer,http://a0.twimg.com/profile_images/1282503937/caroline_oxfam_small.bmp_normal.jpg
antonellalicini,0,0,31,4,ukoer,http://a0.twimg.com/profile_images/1263939861/photo__5_normal.jpg
pcteherans,0,1,113,3,SCOREProject,http://a0.twimg.com/profile_images/1009221776/Snapshot_of_me_4_normal.png
ocaoimh,0,0,34,2,ukoer,http://a0.twimg.com/profile_images/802405239/Photo_on_2010-03-03_at_22.58_normal.jpg
SHaWMMU,27.156,7,112,3,ukoer,http://a0.twimg.com/profile_images/717519063/Twitter_Logo_normal.jpg
pgcap,28.733,9,142,0,ukoer,http://a0.twimg.com/profile_images/2148087104/BenFinal-38mm_normal.jpg
medev_ncl,894.65,73,461,3,"SCOREProject,ukoer",http://a0.twimg.com/profile_images/1977624624/medev_logo_cropped_normal.jpg
sarah_turpin,5.381,7,46,3,ukoer,http://a0.twimg.com/profile_images/1584643269/Fritillaria_20meleagris_202_20Wendy_20Merle_normal.jpg
legal69,39.618,4,23,3,SCOREProject,http://a0.twimg.com/profile_images/1517118554/KTJLuK3l_normal
askawild,485.99,24,65,1,ukoer,http://a0.twimg.com/profile_images/1879247858/DSC_0096_normal.JPG
Traceyjane10,0.047229,1,33,0,ukoer,http://a0.twimg.com/profile_images/1306769004/photofunia_ebbad_normal.jpg
krispekitty,0,1,137,4,SCOREProject,http://a0.twimg.com/profile_images/1670045758/250356_10150191584720069_594635068_7425221_4377334_n_normal.jpg
LHWoolley,0,0,10,3,ukoer,http://a0.twimg.com/sticky/default_profile_images/default_profile_5_normal.png
digisim,283.44,32,138,1,SCOREProject,http://a0.twimg.com/profile_images/1342476651/simon_250pixels_normal.jpg
simonallan,294.9,5,39,1,ukoer,http://a0.twimg.com/profile_images/178348304/portrait_normal.jpg
D2LLR,55.729,5,95,4,ukoer,http://a0.twimg.com/profile_images/1780860603/logo_normal.png
thanss,80.087,6,133,4,ukoer,http://a0.twimg.com/profile_images/195127505/DSCN0993-1_normal.JPG
